invoice_id,line_no,item_id,item_name,quantity,unit,unit_price_ex_vat,line_total_ex_vat
INV-2025-0001,1,it_pl_019,Drain rod set,2,set,35.0,70.0
INV-2025-0001,2,it_pl_003,PTFE tape,4,roll,1.2,4.8
INV-2025-0001,3,it_pl_007,Pipe clip pack of 10,2,pack,3.2,6.41
INV-2025-0001,4,it_pl_004,15mm compression fitting,4,each,2.5,10.01
INV-2025-0001,5,it_pl_001,15mm copper pipe,2,metre,4.5,9.01
INV-2024-0002,1,it_pl_025,Outside tap kit,4,kit,32.0,128.0
INV-2024-0002,2,it_pl_001,15mm copper pipe,2,metre,4.5,9.01
INV-2024-0002,3,it_pl_004,15mm compression fitting,1,each,2.5,2.5
INV-2024-0002,4,it_pl_003,PTFE tape,1,roll,1.2,1.2
INV-2024-0002,5,it_pl_007,Pipe clip pack of 10,3,pack,3.2,9.61
INV-2024-0003,1,it_pl_014,Kitchen tap chrome,3,unit,75.0,225.0
INV-2024-0003,2,it_pl_003,PTFE tape,1,roll,1.2,1.2
INV-2024-0003,3,it_pl_004,15mm compression fitting,4,each,2.5,10.01
INV-2024-0003,4,it_pl_001,15mm copper pipe,1,metre,4.5,4.5
INV-2024-0003,5,it_pl_007,Pipe clip pack of 10,1,pack,3.2,3.21
INV-2025-0004,1,it_cp_001,MDF sheet 18mm 8x4,4,sheet,38.0,152.0
INV-2025-0004,2,it_cp_002,Timber C16 2x4 4.8m,1,length,18.0,18.0
INV-2025-0004,3,it_cp_004,Wood screws 4.0x40 box,1,box,14.0,14.01
INV-2025-0004,4,it_cp_020,Shelf bracket pair,3,pair,6.0,18.0
INV-2025-0004,5,it_cp_028,Floor lacquer 5L,1,tin,58.0,58.01
INV-2025-0005,1,it_el_017,Outdoor PIR light LED,2,unit,42.0,84.0
INV-2025-0005,2,it_el_003,Twin & earth 1.5mm 100m,2,reel,85.0,170.0
INV-2025-0005,3,it_el_027,Cable clip pack 100,2,pack,4.5,9.01
INV-2025-0005,4,it_el_028,Back box metal 35mm,4,each,1.8,7.21
INV-2025-0005,5,it_el_006,Light switch 1-gang,1,each,3.2,3.21
INV-2024-0006,1,it_el_011,RCD 40A 30mA,4,each,28.0,112.0
INV-2024-0006,2,it_el_009,MCB 16A type-B,1,each,6.8,6.8
INV-2024-0006,3,it_el_010,MCB 32A type-B,1,each,7.5,7.5
INV-2024-0006,4,it_el_029,Earth bond cable 10mm,2,metre,2.2,4.41
INV-2024-0006,5,it_el_027,Cable clip pack 100,1,pack,4.5,4.5
INV-2025-0007,1,it_el_002,Twin & earth 6mm 50m,4,reel,165.0,660.0
INV-2025-0007,2,it_el_030,Cooker switch 45A,2,each,14.0,28.0
INV-2025-0007,3,it_el_010,MCB 32A type-B,1,each,7.5,7.5
INV-2025-0007,4,it_el_011,RCD 40A 30mA,1,each,28.0,28.0
INV-2025-0007,5,it_el_027,Cable clip pack 100,2,pack,4.5,9.01
INV-2026-0008,1,it_cp_009,Engineered oak flooring,2,sqm,42.0,84.0
INV-2026-0008,2,it_cp_011,Floor underlay 15sqm,2,roll,28.0,56.01
